id,exercise_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instruction
0,Push-Up Hold,mobility,dip belt,lower,stretch,"glutes, quads, hamstrings","Setup: Prepare equipment: dip belt. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: glutes, quads, hamstrings. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Never force end range; joints should feel stable."
1,Explosive Lateral Raise Pulse,cardio,barbells,full body,hold,"back, chest, legs","Setup: Set barbell with collars secured; grip evenly; brace before lift. Maintain tall posture, neutral spine, and steady breathing. Primary focus: back, chest, legs. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Start lighter than you think; add load gradually. Keep posture tall; reduce pace if form degrades."
2,Rotational Jumping Jack Iso,warm-up,barbells,upper,push,"biceps, forearms, chest","Setup: Set barbell with collars secured; grip evenly; brace before lift. Draw ribs down, keep shoulders packed and away from ears. Primary focus: biceps, forearms, chest. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Start lighter than you think; add load gradually."
3,Wide-Grip Running,strength,kettlebells,upper,pull,"deltoids, triceps, forearms","Setup: Place kettlebell close to midline; hinge to grip; pack shoulders. Draw ribs down, keep shoulders packed and away from ears. Primary focus: deltoids, triceps, forearms. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep bell close to centerline to protect lower back."
4,Decline Dips,cardio,barbells,core,stretch,"abs, lower back, obliques","Setup: Set barbell with collars secured; grip evenly; brace before lift. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: abs, lower back, obliques. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Start lighter than you think; add load gradually. Keep posture tall; reduce pace if form degrades."
5,Seated Plank,cardio,dumbbells,core,hold,"lower back, obliques, abs","Setup: Hold dumbbells with a neutral, secure grip; wrists straight. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, obliques, abs. Movement: Create a straight line from ears to ankles; squeeze glutes and quads; keep belly slightly tucked. Hold steadily. Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
6,Calf Raise Variation,cardio,bodyweight,upper,stretch,"triceps, biceps, deltoids","Setup: Bodyweight only—use controlled tempo and balance. Draw ribs down, keep shoulders packed and away from ears. Primary focus: triceps, biceps, deltoids. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Keep posture tall; reduce pace if form degrades."
7,Incline Cycling,strength,bodyweight,upper,push,"lats, biceps, forearms","Setup: Bodyweight only—use controlled tempo and balance. Draw ribs down, keep shoulders packed and away from ears. Primary focus: lats, biceps, forearms. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
8,Half-Kneeling Burpee Raise,warm-up,barbells,core,stretch,"abs, lower back, obliques","Setup: Set barbell with collars secured; grip evenly; brace before lift. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: abs, lower back, obliques. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Start lighter than you think; add load gradually."
9,Pull-Up Pulse,strength,resistance band,lower,push,"calves, glutes, quads","Setup: Anchor the resistance band safely; check for tears before use. Brace core, keep neutral spine, drive through whole foot. Primary focus: calves, glutes, quads. Movement: Pull elbows back toward hips, squeeze shoulder blades, then return slowly without shrugging. Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
