exercise name,type of activity,type of equipment,body part,type,muscle groups activated,instruction
Push-Up Hold,mobility,dip belt,lower,stretch,"glutes, quads, hamstrings","Push-Up Hold: Setup — Use dip belt. Focus on stretch movement for lower. Engage glutes, quads, hamstrings. Control breathing."
Explosive Lateral Raise Pulse,cardio,barbells,full body,hold,"back, chest, legs","Explosive Lateral Raise Pulse: Setup — Use barbells. Focus on hold movement for full body. Engage back, chest, legs. Control breathing."
Rotational Jumping Jack Iso,warm-up,barbells,upper,push,"biceps, forearms, chest","Rotational Jumping Jack Iso: Setup — Use barbells. Focus on push movement for upper. Engage biceps, forearms, chest. Control breathing."
Wide-Grip Running,strength,kettlebells,upper,pull,"deltoids, triceps, forearms","Wide-Grip Running: Setup — Use kettlebells. Focus on pull movement for upper. Engage deltoids, triceps, forearms. Control breathing."
Decline Dips,cardio,barbells,core,stretch,"abs, lower back, obliques","Decline Dips: Setup — Use barbells. Focus on stretch movement for core. Engage abs, lower back, obliques. Control breathing."
Seated Plank,cardio,dumbbells,core,hold,"lower back, obliques, abs","Seated Plank: Setup — Use dumbbells. Focus on hold movement for core. Engage lower back, obliques, abs. Control breathing."
Calf Raise Variation,cardio,bodyweight,upper,stretch,"triceps, biceps, deltoids","Calf Raise Variation: Setup — Use bodyweight. Focus on stretch movement for upper. Engage triceps, biceps, deltoids. Control breathing."
Incline Cycling,strength,bodyweight,upper,push,"lats, biceps, forearms","Incline Cycling: Setup — Use bodyweight. Focus on push movement for upper. Engage lats, biceps, forearms. Control breathing."
Half-Kneeling Burpee Raise,warm-up,barbells,core,stretch,"abs, lower back, obliques","Half-Kneeling Burpee Raise: Setup — Use barbells. Focus on stretch movement for core. Engage abs, lower back, obliques. Control breathing."
Pull-Up Pulse,strength,resistance band,lower,push,"calves, glutes, quads","Pull-Up Pulse: Setup — Use resistance band. Focus on push movement for lower. Engage calves, glutes, quads. Control breathing."
Side Plank Rotation,cardio,cable machine,full body,hold,"chest, core, back","Side Plank Rotation: Setup — Use cable machine. Focus on hold movement for full body. Engage chest, core, back. Control breathing."
Bicep Curl,warm-up,jump rope,core,hold,"lower back, abs, obliques","Bicep Curl: Setup — Use jump rope. Focus on hold movement for core. Engage lower back, abs, obliques. Control breathing."
Close-Grip Overhead Press,strength,jump rope,full body,hold,"back, core, legs","Close-Grip Overhead Press: Setup — Use jump rope. Focus on hold movement for full body. Engage back, core, legs. Control breathing."
Rotational Lunge Twist,mobility,pull-up bar,full body,hold,"back, core, chest","Rotational Lunge Twist: Setup — Use pull-up bar. Focus on hold movement for full body. Engage back, core, chest. Control breathing."
B-Stance Rowing,warm-up,dumbbells,core,pull,"abs, lower back, obliques","B-Stance Rowing: Setup — Use dumbbells. Focus on pull movement for core. Engage abs, lower back, obliques. Control breathing."
Push-Up,strength,jump rope,lower,pull,"calves, quads, glutes","Push-Up: Setup — Use jump rope. Focus on pull movement for lower. Engage calves, quads, glutes. Control breathing."
Tricep Extension Twist,warm-up,smith machine,core,pull,"abs, obliques, lower back","Tricep Extension Twist: Setup — Use smith machine. Focus on pull movement for core. Engage abs, obliques, lower back. Control breathing."
Deficit Leg Press,strength,smith machine,upper,pull,"forearms, deltoids, traps","Deficit Leg Press: Setup — Use smith machine. Focus on pull movement for upper. Engage forearms, deltoids, traps. Control breathing."
Static Cycling March,cardio,assisted machine,core,pull,"obliques, abs, lower back","Static Cycling March: Setup — Use assisted machine. Focus on pull movement for core. Engage obliques, abs, lower back. Control breathing."
Chin-Up,warm-up,cable machine,core,hold,"lower back, obliques, abs","Chin-Up: Setup — Use cable machine. Focus on hold movement for core. Engage lower back, obliques, abs. Control breathing."
Single-Leg Bicep Curl March,cardio,dip belt,lower,pull,"glutes, calves, hamstrings","Single-Leg Bicep Curl March: Setup — Use dip belt. Focus on pull movement for lower. Engage glutes, calves, hamstrings. Control breathing."
Squat,strength,assisted machine,core,stretch,"abs, lower back, obliques","Squat: Setup — Use assisted machine. Focus on stretch movement for core. Engage abs, lower back, obliques. Control breathing."
Step-Up Series,warm-up,rower,core,stretch,"abs, lower back, obliques","Step-Up Series: Setup — Use rower. Focus on stretch movement for core. Engage abs, lower back, obliques. Control breathing."
Single-Arm Chest Fly,mobility,rower,lower,push,"glutes, quads, calves","Single-Arm Chest Fly: Setup — Use rower. Focus on push movement for lower. Engage glutes, quads, calves. Control breathing."
Dips,cardio,cable machine,upper,pull,"triceps, chest, traps","Dips: Setup — Use cable machine. Focus on pull movement for upper. Engage triceps, chest, traps. Control breathing."
Mountain Climber Hold,mobility,dumbbells,full body,hold,"back, legs, core","Mountain Climber Hold: Setup — Use dumbbells. Focus on hold movement for full body. Engage back, legs, core. Control breathing."
Jumping Jack Hold,cardio,assisted machine,full body,pull,"core, legs, back","Jumping Jack Hold: Setup — Use assisted machine. Focus on pull movement for full body. Engage core, legs, back. Control breathing."
Rotational Face Pull,warm-up,rower,lower,push,"calves, quads, hamstrings","Rotational Face Pull: Setup — Use rower. Focus on push movement for lower. Engage calves, quads, hamstrings. Control breathing."
